Country Name,Country Code,Indicator Name,Indicator Code,Year,Population
Kenya,KEN,"Population, total",SP.POP.TOTL,2010,41517895
Kenya,KEN,"Population, total",SP.POP.TOTL,2011,42635144
Kenya,KEN,"Population, total",SP.POP.TOTL,2012,43725806
Kenya,KEN,"Population, total",SP.POP.TOTL,2013,44792368
Kenya,KEN,"Population, total",SP.POP.TOTL,2014,45831863
Kenya,KEN,"Population, total",SP.POP.TOTL,2015,46851488
Kenya,KEN,"Population, total",SP.POP.TOTL,2016,47894670
Kenya,KEN,"Population, total",SP.POP.TOTL,2017,48948137
Kenya,KEN,"Population, total",SP.POP.TOTL,2018,49953304
Kenya,KEN,"Population, total",SP.POP.TOTL,2019,50951450
Kenya,KEN,"Population, total",SP.POP.TOTL,2020,51985780
Kenya,KEN,"Population, total",SP.POP.TOTL,2021,53005614
Kenya,KEN,"Population, total",SP.POP.TOTL,2022,54027487
Kenya,KEN,"Population, total",SP.POP.TOTL,2023,55100586
